goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
40856,"5000000000","80","SILK"
40857,"5001000000","80","Silkworm cocoons suitable for reeling"
40858,"5002000000","80","Raw silk (not thrown)"
40859,"5003000000","80","Silk waste (including cocoons unsuitable for reeling yarn waste and garnetted stock)"
86770,"5003000010","80","Not carded or combed"
86771,"5003000090","80","Other"
40862,"5004000000","80","Silk yarn (other than yarn spun from silk waste) not put up for retail sale"
40863,"5004001000","80","Unbleached scoured or bleached"
40864,"5004001010","80","Yarn spun entirely from silk"
40865,"5004001090","80","Other"
40866,"5004009000","80","Other"
40869,"5005000000","80","Yarn spun from silk waste not put up for retail sale"
40870,"5005001000","80","Unbleached scoured or bleached"
40871,"5005001010","80","Yarn spun entirely from silk waste (noil) not put up for retail sale"
40872,"5005001090","80","Other"
40873,"5005009000","80","Other"
40874,"5005009010","80","Yarn spun entirely from silk waste (noil) not put up for retail sale"
40875,"5005009090","80","Other"
40876,"5006000000","80","Silk yarn and yarn spun from silk waste put up for retail sale; silkworm gut"
40877,"5006001000","80","Silk yarn"
40878,"5006009000","80","Yarn spun from noil or other silk waste; silkworm gut"
40879,"5007000000","80","Woven fabrics of silk or of silk waste"
40880,"5007100000","80","Fabrics of noil silk"
40881,"5007100010","80","Manufactured on handlooms"
70077,"5007100090","80","Other"
40886,"5007200000","80","Other fabrics containing 85 % or more by weight of silk or of silk waste other than noil silk"
40893,"5007201100","10","Crêpes"
40894,"5007201100","80","Unbleached scoured or bleached"
40895,"5007201110","80","Manufactured on handlooms"
70079,"5007201190","80","Other"
40899,"5007201900","80","Other"
40900,"5007201910","80","Manufactured on handlooms"
70081,"5007201990","80","Other"
40904,"5007202100","10","Pongee habutai honan shantung corah and similar far eastern fabrics wholly of silk (not mixed with noil or other silk waste or with other textile materials)"
40905,"5007202100","80","Plain-woven unbleached or not further processed than scoured"
40906,"5007202110","80","Manufactured on handlooms"
70082,"5007202190","80","Other"
40911,"5007203100","10","Other"
40912,"5007203100","80","Plain-woven"
88886,"5007203120","80","Manufactured on handlooms"
88887,"5007203180","80","Other"
40915,"5007203900","80","Other"
88885,"5007203920","80","Manufactured on handlooms"
88884,"5007203980","80","Other"
40918,"5007204100","10","Other"
40919,"5007204100","80","Diaphanous fabrics (open weave)"
40920,"5007204110","80","Manufactured on handlooms"
40921,"5007204190","80","Other"
40922,"5007205100","10","Other"
40923,"5007205100","80","Unbleached scoured or bleached"
40924,"5007205110","80","Manufactured on handlooms"
40925,"5007205190","80","Other"
40926,"5007205900","80","Dyed"
40927,"5007205910","80","Manufactured on handlooms"
40928,"5007205990","80","Other"
40929,"5007206100","10","Of yarns of different colours"
40930,"5007206100","80","Of a width exceeding 57 cm but not exceeding 75 cm"
40931,"5007206110","80","Manufactured on handlooms"
40932,"5007206190","80","Other"
40933,"5007206900","80","Other"
40934,"5007206910","80","Manufactured on handlooms"
40935,"5007206990","80","Other"
40936,"5007207100","80","Printed"
40937,"5007207110","80","Manufactured on handlooms"
40938,"5007207190","80","Other"
40939,"5007900000","80","Other fabrics"
40940,"5007901000","80","Unbleached scoured or bleached"
40941,"5007901010","80","Manufactured on handlooms"
40942,"5007901090","80","Other"
40943,"5007903000","80","Dyed"
40944,"5007903010","80","Manufactured on handlooms"
40945,"5007903090","80","Other"
40946,"5007905000","80","Of yarns of different colours"
40947,"5007905010","80","Manufactured on handlooms"
40948,"5007905090","80","Other"
40949,"5007909000","80","Printed"
40950,"5007909010","80","Manufactured on handlooms"
40951,"5007909090","80","Other"
40952,"5100000000","80","WOOL FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC"
40953,"5101000000","80","Wool not carded or combed"
40954,"5101110000","10","Greasy including fleece-washed wool"
40955,"5101110000","80","Shorn wool"
40956,"5101190000","80","Other"
40957,"5101210000","10","Degreased not carbonised"
40958,"5101210000","80","Shorn wool"
40959,"5101290000","80","Other"
40960,"5101300000","80","Carbonised"
40961,"5102000000","80","Fine or coarse animal hair not carded or combed"
73852,"5102110000","10","Fine animal hair"
73853,"5102110000","80","Of Kashmir (cashmere) goats"
73854,"5102190000","80","Other"
73855,"5102191000","80","Of angora rabbit"
73856,"5102193000","80","Of alpaca llama or vicuna"
73857,"5102194000","80","Of camel (including dromedary) or yak or of angora Tibetan or similar goats"
