goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
39532,"4000000000","80","RUBBER AND ARTICLES THEREOF"
39533,"4001000000","80","Natural rubber balata gutta-percha guayule chicle and similar natural gums in primary forms or in plates sheets or strip"
39534,"4001100000","80","Natural rubber latex whether or not prevulcanised"
39535,"4001210000","10","Natural rubber in other forms"
39536,"4001210000","80","Smoked sheets"
39537,"4001220000","80","Technically specified natural rubber (TSNR)"
39538,"4001290000","80","Other"
39541,"4001300000","80","Balata gutta-percha guayule chicle and similar natural gums"
39542,"4002000000","80","Synthetic rubber and factice derived from oils in primary forms or in plates sheets or strip; mixtures of any product of heading 4001 with any product of this heading in primary forms or in plates sheets or strip"
39543,"4002110000","10","Styrene-butadiene rubber (SBR); carboxylated styrene-butadiene rubber (XSBR)"
39544,"4002110000","80","Latex"
39545,"4002190000","80","Other"
83494,"4002191000","80","Styrene-butadiene rubber produced by emulsion polymerisation (E-SBR) in bales"
83495,"4002192000","80","Styrene-butadiene-styrene block copolymers produced by solution polymerisation (SBS thermoplastic elastomers) in granules crumbs or powders"
83496,"4002193000","80","Styrene-butadiene rubber produced by solution polymerisation (S-SBR) in bales"
83497,"4002199000","80","Other"
39546,"4002200000","80","Butadiene rubber (BR)"
39547,"4002310000","10","Isobutene-isoprene (butyl) rubber (IIR); halo-isobutene-isoprene rubber (CIIR or BIIR)"
39548,"4002310000","80","Isobutene-isoprene (butyl) rubber (IIR)"
39549,"4002390000","80","Other"
39550,"4002410000","10","Chloroprene (chlorobutadiene) rubber (CR)"
39551,"4002410000","80","Latex"
39552,"4002490000","80","Other"
39553,"4002510000","10","Acrylonitrile-butadiene rubber (NBR)"
39554,"4002510000","80","Latex"
39555,"4002590000","80","Other"
39556,"4002600000","80","Isoprene rubber (IR)"
39557,"4002700000","80","Ethylene-propylene-non-conjugated diene rubber (EPDM)"
39558,"4002800000","80","Mixtures of any product of heading 4001 with any product of this heading"
39559,"4002910000","10","Other"
39560,"4002910000","80","Latex"
39561,"4002990000","80","Other"
39562,"4002991000","80","Products modified by the incorporation of plastics"
39563,"4002999000","80","Other"
39564,"4003000000","80","Reclaimed rubber in primary forms or in plates sheets or strip"
39565,"4004000000","80","Waste parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom"
39566,"4005000000","80","Compounded rubber unvulcanised in primary forms or in plates sheets or strip"
39567,"4005100000","80","Compounded with carbon black or silica"
39568,"4005200000","80","Solutions; dispersions other than those of subheading 4005 10"
39569,"4005910000","10","Other"
39570,"4005910000","80","Plates sheets and strip"
39571,"4005990000","80","Other"
39572,"4006000000","80","Other forms (for example rods tubes and profile shapes) and articles (for example discs and rings) of unvulcanised rubber"
39573,"4006100000","80","'Camel-back' strips for retreading rubber tyres"
39574,"4006900000","80","Other"
39575,"4007000000","80","Vulcanised rubber thread and cord"
70598,"4007000010","80","Siliconated vulcanised rubber thread and cord"
70599,"4007000090","80","Other"
39576,"4008000000","80","Plates sheets strip rods and profile shapes of vulcanised rubber other than hard rubber"
39577,"4008110000","10","Of cellular rubber"
39578,"4008110000","80","Plates sheets and strip"
39579,"4008190000","80","Other"
39580,"4008210000","10","Of non-cellular rubber"
39581,"4008210000","80","Plates sheets and strip"
39582,"4008211000","80","Floor coverings and mats"
39583,"4008219000","80","Other"
39584,"4008290000","80","Other"
83498,"4008290010","80","Profile shapes cut to size for use in civil aircraft"
83499,"4008290090","80","Other"
39587,"4009000000","80","Tubes pipes and hoses of vulcanised rubber other than hard rubber with or without their fittings (for example joints elbows flanges)"
73513,"4009110000","10","Not reinforced or otherwise combined with other materials"
73515,"4009110000","80","Without fittings"
73516,"4009120000","80","With fittings"
83500,"4009120010","80","Suitable for conducting gases or liquids for use in civil aircraft"
83501,"4009120090","80","Other"
73519,"4009210000","10","Reinforced or otherwise combined only with metal"
73520,"4009210000","80","Without fittings"
73521,"4009220000","80","With fittings"
83511,"4009220010","80","Suitable for conducting gases or liquids for use in civil aircraft"
83502,"4009220090","80","Other"
73524,"4009310000","10","Reinforced or otherwise combined only with textile materials"
73525,"4009310000","80","Without fittings"
73526,"4009320000","80","With fittings"
83512,"4009320010","80","Suitable for conducting gases or liquids for use in civil aircraft"
83503,"4009320090","80","Other"
73529,"4009410000","10","Reinforced or otherwise combined with other materials"
73530,"4009410000","80","Without fittings"
73531,"4009420000","80","With fittings"
83513,"4009420010","80","Suitable for conducting gases or liquids for use in civil aircraft"
99581,"4009420020","80","Rubber brake hose with - textile strings - a wall thickness of 32 mm - a metal hollow terminal pressed on both ends and - one or more mounting brackets for use in the manufacture of goods of Chapter 87"
83504,"4009420090","80","Other"
39602,"4010000000","80","Conveyor or transmission belts or belting of vulcanised rubber"
59722,"4010110000","10","Conveyor belts or belting"
59723,"4010110000","80","Reinforced only with metal"
59724,"4010120000","80","Reinforced only with textile materials"
59726,"4010190000","80","Other"
73534,"4010310000","10","Transmission belts or belting"
73535,"4010310000","80","Endless transmission belts of trapezoidal cross-section (V-belts) V-ribbed of an outside circumference exceeding 60 cm but not exceeding 180 cm"
100528,"4010310010","80","Vulcanized rubber endless transmission belt of trapezoidal cross-section (V-belts) with longitudinal V-ribbed pattern on the inner side for use in the manufacture of goods of Chapter 87"
100533,"4010310090","80","Other"
73536,"4010320000","80","Endless transmission belts of trapezoidal cross-section (V-belts) other than V-ribbed of an outside circumference exceeding 60 cm but not exceeding 180 cm"
73538,"4010330000","80","Endless transmission belts of trapezoidal cross-section (V-belts) V-ribbed of an outside circumference exceeding 180 cm but not exceeding 240 cm"
100529,"4010330010","80","Vulcanized rubber endless transmission belt of trapezoidal cross-section (V-belts) with longitudinal V-ribbed pattern on the inner side for use in the manufacture of goods of Chapter 87"
100532,"4010330090","80","Other"
73537,"4010340000","80","Endless transmission belts of trapezoidal cross-section (V-belts) other than V-ribbed of an outside circumference exceeding 180 cm but not exceeding 240 cm"
73539,"4010350000","80","Endless synchronous belts of an outside circumference exceeding 60 cm but not exceeding 150 cm"
73540,"4010360000","80","Endless synchronous belts of an outside circumference exceeding 150 cm but not exceeding 198 cm"
73541,"4010390000","80","Other"
100530,"4010390010","80","Vulcanized rubber endless transmission belt of trapezoidal cross-section (V-belts) with longitudinal V-ribbed pattern on the inner side for use in the manufacture of goods of Chapter 87"
100531,"4010390090","80","Other"
39615,"4011000000","80","New pneumatic tyres of rubber"
39616,"4011100000","80","Of a kind used on motor cars (including station wagons and racing cars)"
39617,"4011200000","80","Of a kind used on buses or lorries"
39618,"4011201000","80","With a load index not exceeding 121"
39619,"4011209000","80","With a load index exceeding 121"
39620,"4011300000","80","Of a kind used on aircraft"
83514,"4011300010","80","For use on civil aircraft"
83505,"4011300090","80","Other"
39623,"4011400000","80","Of a kind used on motorcycles"
39628,"4011500000","80","Of a kind used on bicycles"
102160,"4011700000","80","Of a kind used on agricultural or forestry vehicles and machines"
102161,"4011800000","80","Of a kind used on construction mining or industrial handling vehicles and machines"
102163,"4011900000","80","Other"
39640,"4012000000","80","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres tyre treads and tyre flaps of rubber"
73559,"4012110000","10","Retreaded tyres"
73560,"4012110000","80","Of a kind used on motor cars (including station wagons and racing cars)"
73561,"4012120000","80","Of a kind used on buses or lorries"
103893,"4012120010","80","With a load index exceeding 121"
103894,"4012120090","80","Other"
73563,"4012130000","80","Of a kind used on aircraft"
83515,"4012130010","80","For use on civil aircraft"
83506,"4012130090","80","Other"
73566,"4012190000","80","Other"
39652,"4012200000","80","Used pneumatic tyres"
83516,"4012200010","80","For use on civil aircraft"
83507,"4012200090","80","Other"
39657,"4012900000","80","Other"
70430,"4012902000","80","Solid or cushion tyres"
70431,"4012903000","80","Tyre treads"
39659,"4012909000","80","Tyre flaps"
39660,"4013000000","80","Inner tubes of rubber"
39661,"4013100000","80","Of a kind used on motor cars (including station wagons and racing cars) buses or lorries"
39664,"4013200000","80","Of a kind used on bicycles"
39665,"4013900000","80","Other"
39668,"4014000000","80","Hygienic or pharmaceutical articles (including teats) of vulcanised rubber other than hard rubber with or without fittings of hard rubber"
39669,"4014100000","80","Sheath contraceptives"
39670,"4014900000","80","Other"
39673,"4015000000","80","Articles of apparel and clothing accessories (including gloves mittens and mitts) for all purposes of vulcanised rubber other than hard rubber"
39674,"4015110000","10","Gloves mittens and mitts"
39675,"4015110000","80","Surgical"
39676,"4015190000","80","Other"
39679,"4015900000","80","Other"
39680,"4016000000","80","Other articles of vulcanised rubber other than hard rubber"
39681,"4016100000","80","Of cellular rubber"
83517,"4016100010","80","For technical uses for use in civil aircraft"
83508,"4016100090","80","Other"
39684,"4016910000","10","Other"
39685,"4016910000","80","Floor coverings and mats"
39686,"4016920000","80","Erasers"
39687,"4016930000","80","Gaskets washers and other seals"
83518,"4016930010","80","For technical uses for use in civil aircraft"
105616,"4016930030","80","Rectangular ethylene-propylene-diene rubber gasket with: -a length of 72 mm or more but not more than 825 mm -a width of 18 mm or more but not more than 155 mm -a peak temperature of 150°C or more but not more than 240°C -a permissible material outflow at the place of the mold split of not more than 03 mm "
83509,"4016930090","80","Other"
39690,"4016940000","80","Boat or dock fenders whether or not inflatable"
39691,"4016950000","80","Other inflatable articles"
39692,"4016990000","80","Other"
55059,"4016995200","10","For motor vehicles of headings 8701 to 8705"
55061,"4016995200","80","Rubber-to-metal bonded parts"
90270,"4016995700","80","Other"
103052,"4016995710","80","Air intake hose for air supply to the combustion part of the engine comprising at least: - one flexible rubber hose - one plastic hose and - metal clips - whether or not a resonator for use in the manufacture of goods of Chapter 87"
